epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,18589.6,1.15668,0.6549,1.02434,0.87656,0.78663,0.84374,0.52819,1.02775,0.51525,0.99111,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,19007.6,1.15458,0.65568,1.0233,0.88127,0.77685,0.83969,0.52619,1.02067,0.51847,0.98916,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,19422.4,1.14743,0.65158,1.02397,0.86569,0.78971,0.83627,0.52251,1.02924,0.51767,0.9934,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,19832.9,1.14745,0.64935,1.02173,0.87204,0.77935,0.83966,0.52551,1.01321,0.5131,0.98792,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,20244.4,1.15084,0.65543,1.02495,0.88345,0.79941,0.84493,0.53179,1.0149,0.51315,0.9903,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,20663.8,1.14561,0.64951,1.02351,0.88678,0.77421,0.83902,0.52974,1.02404,0.5116,0.98919,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,21079.2,1.13844,0.64187,1.01713,0.90112,0.79538,0.84691,0.52966,1.01467,0.50932,0.98662,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,21480.5,1.14275,0.64822,1.0224,0.90977,0.77231,0.84101,0.53025,1.00589,0.5081,0.98315,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,21866.9,1.13887,0.64055,1.01825,0.89161,0.78019,0.83834,0.53245,1.00584,0.507,0.98265,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,22258,1.1343,0.63814,1.01744,0.89234,0.77368,0.8432,0.53555,1.00525,0.50639,0.98348,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,22657.5,1.12896,0.63437,1.01409,0.90661,0.76993,0.84065,0.53358,1.00547,0.50487,0.98234,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,23049.3,1.12242,0.63304,1.01316,0.87847,0.77827,0.83738,0.53214,1.00735,0.50354,0.98375,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,23440.1,1.12728,0.63249,1.01442,0.91755,0.77027,0.84095,0.53321,1.005,0.50324,0.98446,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,23829.9,1.11745,0.62558,1.00962,0.91157,0.76769,0.83694,0.53448,1.00102,0.50046,0.98104,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,24227.5,1.12135,0.62752,1.01085,0.89036,0.78922,0.8387,0.53314,0.9993,0.49957,0.98042,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,24621.8,1.11982,0.62582,1.01129,0.89265,0.77347,0.84126,0.53538,0.99583,0.4998,0.97956,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,25018.4,1.10936,0.6233,1.00656,0.88092,0.78924,0.8449,0.53798,0.9919,0.4957,0.97791,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,25416.9,1.11035,0.62229,1.01014,0.85992,0.80262,0.84426,0.53209,0.99091,0.4942,0.97728,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,25816.7,1.10841,0.61714,1.00834,0.86207,0.79788,0.84651,0.5349,0.98995,0.49267,0.97726,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,26224.3,1.10799,0.611,1.00551,0.89286,0.79422,0.84679,0.5376,0.98908,0.48947,0.97585,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,26620.2,1.10074,0.61365,1.00758,0.88518,0.7978,0.8487,0.53816,0.99007,0.48674,0.97595,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,27009.2,1.10846,0.61642,1.00982,0.90821,0.77629,0.84885,0.54002,0.98962,0.48839,0.97707,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,27411.5,1.10207,0.61141,1.00668,0.8827,0.79256,0.84775,0.5401,0.98981,0.48978,0.97795,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,27806.3,1.09749,0.61251,1.0062,0.90184,0.77597,0.84615,0.53648,0.99342,0.49112,0.97978,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,28212.6,1.09491,0.60799,1.00159,0.88142,0.78976,0.8508,0.53851,0.99545,0.48904,0.97883,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,28612.9,1.09474,0.60519,1.00272,0.88339,0.78678,0.84721,0.53961,0.99512,0.48878,0.97797,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,29022.4,1.09313,0.60105,1.00421,0.88351,0.79353,0.84959,0.54164,0.99087,0.4872,0.97779,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
